S. No.,Name,Short Description,Image URL,Type,Calories (in Kcal),Total Fat (in g),Saturated Fat (in g),Trans Fat (in g),Cholesterol (in mg),Sodium (in mg),Carbohydrate (in g),Dietary Fiber (in g),Sugar (in g),Protein (in g),Calcium (in mg),Iron (in mg),Potassium (in mcg),Vitamin A (in mcg),Vitamin B1 (in mg),Vitamin B2 (in mg),Vitamin B3 (in mg),Vitamin B4 (in mg),Vitamin B5 (in mg),Vitamin B6 (in mg),Vitamin B9 (in mcg),Vitamin B12 (in mcg),Vitamin C (in mg),Vitamin D (in mcg),Vitamin E (in mg),Vitamin K (in mcg),Phosphorus (in mg),Magnesium (in mg),Zinc (in mg),Copper (in mg),Recommended portion (in g)
1,Almonds,"Almonds are a nutritious nut that is high in healthy fats, protein, vitamins, and minerals. They are known to support heart health, aid in weight management, and provide antioxidants.",https://images.unsplash.com/photo-1626196339995-f607837f1d35?q=80&w=1374&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,576,49.9,3.7,0,0,1,21.7,12.5,4.4,21.2,269,3.7,733,0,0.2,1,3.4,0.5,0.1,0.76,0.76,0,0,7.3,481,76,3.3,0.3,0,0,28
2,Amaranth,"Amaranth is a gluten-free ancient grain rich in protein, fiber, vitamins, and minerals. It is known for its potential to support heart health, boost the immune system, and provide sustained energy.",https://5.imimg.com/data5/GLADMIN/Default/2022/4/SH/EE/TN/27975561/amaranth-seeds-500x500.jpeg,Vegan,371,7,1.6,0,0,4,65,7,1.7,14,159,7.6,508,0,0.1,0.4,1.6,0,0.7,0.1,82,0,1.9,0,2.1,0,557,248,3.3,0.7,246
3,Avocado,"Avocado is a nutrient-dense fruit known for its creamy texture and rich, healthy fats. It is a good source of monounsaturated fats, vitamins, and minerals, supporting heart health and providing various health benefits.",https://images.unsplash.com/photo-1523049673857-eb18f1d7b578?q=80&w=1375&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,160,14.7,2.1,0,0,7,8.5,6.7,0.7,2,12,0.6,485,7,0.1,0.1,1.7,2.6,1,0.3,81,0,10,0,2.1,21,52,29,0.6,0.2,100
4,Bacon,"Bacon is a popular meat product made from pork belly. It is known for its rich and savory flavor but is also high in saturated fats and sodium. It should be consumed in moderation as part of a balanced diet.",https://images.unsplash.com/photo-1608475861875-89c94a8dd8f3?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Non-Vegetarian,42,3.3,1.2,0,37,"1,493",0.1,0,0,3.2,2,0.2,42,0,0,0.1,1.5,0,0.4,0.1,2,0.4,0,0,0.1,0,25,3,0.2,0,30
5,Banana,"Bananas are a popular and nutritious fruit known for their natural sweetness and rich potassium content. They are a good source of vitamins, dietary fiber, and provide a quick energy boost.",https://images.unsplash.com/photo-1526364163643-89e30b8fcb70?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,89,0.3,0.1,0,0,1,23,2.6,12,1.1,5,0.3,358,1,0.03,0.1,0.7,0,0.3,0.4,20,0,8.7,0,0.1,0.5,22,27,0.2,0.1,118
6,Barley,"Barley is a whole grain rich in fiber, vitamins, and minerals. It is known for its nutty flavor and chewy texture. Barley consumption is associated with various health benefits, including improved digestion and heart health.",https://images.unsplash.com/photo-1418995231169-b6d53c7cdbac?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,123,0.4,0.1,0,0,5,28.9,3.9,0.6,2.3,11,0.6,77,0,0.1,0.1,1.3,0,0.3,0.1,6,0,0,0,0.3,1.5,34,29,0.5,0.1,92
7,Beef Liver,"Beef Liver is a highly nutritious organ meat that is rich in various vitamins and minerals, including iron, vitamin A, and vitamin B12. It is known for its distinct flavor and is considered a nutrient-dense food.",https://images.unsplash.com/photo-1615937657715-bc7b4b7962c1?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Non-Vegetarian,192,7.4,2.7,0.4,333,77,1.8,0,0,29.7,5,6.2,313,6500,0.2,4.2,16.9,444,8.6,0.9,580,83.1,0,1.8,0.6,0.4,447,18,4.3,12,85
8,Beet Greens,"Beet Greens are the leafy green tops of beetroot plants. They are rich in vitamins, minerals, and antioxidants, offering a range of health benefits. Beet greens are known for their slightly bitter taste and can be used in salads, sautés, or as a side dish.",https://images.unsplash.com/photo-1601091710444-f0fe10514ae9?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,22,0.3,0.1,0,0,390,4.3,3.7,0.9,2.2,117,2.5,762,220,0.1,0.2,0.8,0,0.2,0.1,194,0,30,0,1.8,500,40,49,0.4,0.1,144
9,Beetroots,"Beetroots, also known as beets, are a vibrant and nutritious root vegetable. They are rich in antioxidants, vitamins, and minerals, offering various health benefits. Beetroots can be consumed raw, roasted, boiled, or pickled.",https://plus.unsplash.com/premium_photo-1661775035918-b8fad529d319?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,43,0.2,0,0,0,78,9.6,2.8,6.8,1.6,16,0.8,325,2,0,0,0.3,0,0.3,0.1,80,0,4.9,0,0.1,0.2,40,23,0.3,0.1,85
10,Blackberries,"Blackberries are delicious and nutritious berries known for their sweet-tart flavor. They are rich in vitamins, antioxidants, and fiber, providing various health benefits.",https://images.unsplash.com/photo-1567306257821-1325bd001aba?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Vegan,43,0.5,0,0,0,1,9.7,5.3,4.5,1.4,29,0.6,162,214,0,0,0.6,0,0.3,0,25,0,21,0,1.2,19.8,22,20,0.5,0.1,144
